YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,GA,Georgia,40.1,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,GU,Guam,34.2,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,HI,Hawaii,29.6,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,ID,Idaho,33.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,IL,Illinois,37.3,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,IN,Indiana,37.7,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,IA,Iowa,39.2,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,KS,Kansas,38.6,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,KY,Kentucky,40.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,LA,Louisiana,42.1,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,ME,Maine,34.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MD,Maryland,37.6,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MA,Massachusetts,31.5,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MI,Michigan,35.6,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MN,Minnesota,33.8,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MS,Mississippi,38.7,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MO,Missouri,34.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,MT,Montana,31.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,US,National,35.7,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NE,Nebraska,37.7,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NV,Nevada,36.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NH,New Hampshire,32.1,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NJ,New Jersey,31.2,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NM,New Mexico,35.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NY,New York,33.8,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,NC,North Carolina,33.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,ND,North Dakota,36.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,OH,Ohio,40.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,OK,Oklahoma,40.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,OR,Oregon,34.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,PA,Pennsylvania,36.1,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,PR,Puerto Rico,33.8,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,RI,Rhode Island,33.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,SC,South Carolina,35.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,SD,South Dakota,35.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,TN,Tennessee,42.9,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,TX,Texas,38.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,UT,Utah,31.3,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,VT,Vermont,31.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,VI,Virgin Islands,41.0,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,VA,Virginia,36.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,WA,Washington,35.2,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,WV,West Virginia,42.4,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,WI,Wisconsin,40.2,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,WY,Wyoming,35.7,Q036,Education,High school graduate,EDU,EDUHSGRAD
2022,AL,Alabama,32.6,Q036,Education,Less than high school,EDU,EDUHS
2022,AK,Alaska,33.4,Q036,Education,Less than high school,EDU,EDUHS
2022,AZ,Arizona,38.3,Q036,Education,Less than high school,EDU,EDUHS
2022,AR,Arkansas,30.4,Q036,Education,Less than high school,EDU,EDUHS
2022,CA,California,36.7,Q036,Education,Less than high school,EDU,EDUHS
2022,CO,Colorado,29.4,Q036,Education,Less than high school,EDU,EDUHS
2022,CT,Connecticut,38.5,Q036,Education,Less than high school,EDU,EDUHS
2022,DE,Delaware,46.5,Q036,Education,Less than high school,EDU,EDUHS
2022,DC,District of Columbia,35.9,Q036,Education,Less than high school,EDU,EDUHS
2022,FL,Florida,38.4,Q036,Education,Less than high school,EDU,EDUHS
2022,GA,Georgia,40.9,Q036,Education,Less than high school,EDU,EDUHS
2022,GU,Guam,21.3,Q036,Education,Less than high school,EDU,EDUHS
2022,HI,Hawaii,34.5,Q036,Education,Less than high school,EDU,EDUHS
2022,ID,Idaho,40.6,Q036,Education,Less than high school,EDU,EDUHS
2022,IL,Illinois,40.5,Q036,Education,Less than high school,EDU,EDUHS
2022,IN,Indiana,40.9,Q036,Education,Less than high school,EDU,EDUHS
