YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,AL,Alabama,38.4,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AK,Alaska,32.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AZ,Arizona,28.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AR,Arkansas,35.4,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CA,California,39.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CO,Colorado,39.2,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CT,Connecticut,27.6,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,DE,Delaware,22.0,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,DC,District of Columbia,34.2,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,FL,Florida,25.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,GA,Georgia,30.0,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,GU,Guam,36.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,HI,Hawaii,30.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,ID,Idaho,30.2,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IL,Illinois,20.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IN,Indiana,34.6,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IA,Iowa,31.0,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,KS,Kansas,26.2,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,LA,Louisiana,26.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,ME,Maine,19.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MD,Maryland,28.5,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MA,Massachusetts,35.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MI,Michigan,24.9,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MN,Minnesota,27.9,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MO,Missouri,27.3,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MT,Montana,31.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,US,National,31.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NE,Nebraska,47.6,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NV,Nevada,37.5,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NH,New Hampshire,35.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NJ,New Jersey,26.9,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NY,New York,28.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NC,North Carolina,26.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,ND,North Dakota,35.6,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,OH,Ohio,30.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,OK,Oklahoma,30.3,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,OR,Oregon,35.5,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,PA,Pennsylvania,30.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,RI,Rhode Island,21.7,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,SC,South Carolina,30.8,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,SD,South Dakota,16.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,TN,Tennessee,30.9,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,TX,Texas,35.6,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,UT,Utah,22.3,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,VT,Vermont,27.9,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,VA,Virginia,39.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,WA,Washington,32.0,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,WV,West Virginia,39.2,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,WI,Wisconsin,21.1,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AL,Alabama,34.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,AK,Alaska,32.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,AZ,Arizona,29.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,AR,Arkansas,33.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,CA,California,24.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,CO,Colorado,36.5,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,FL,Florida,17.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,GA,Georgia,50.8,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,ID,Idaho,28.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,KS,Kansas,31.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,LA,Louisiana,26.7,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,ME,Maine,27.4,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,MD,Maryland,30.5,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,MI,Michigan,41.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,MN,Minnesota,28.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,MO,Missouri,42.3,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,MT,Montana,37.2,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,US,National,33.0,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,NE,Nebraska,34.2,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,NM,New Mexico,34.8,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,NY,New York,21.6,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,NC,North Carolina,45.0,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,ND,North Dakota,31.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,OH,Ohio,32.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,OK,Oklahoma,30.3,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,SC,South Carolina,33.7,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,SD,South Dakota,39.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,TX,Texas,31.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,UT,Utah,35.1,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,VT,Vermont,34.7,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,VA,Virginia,35.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,WA,Washington,34.4,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,WI,Wisconsin,31.9,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,WY,Wyoming,29.2,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2022,AK,Alaska,35.8,Q037,Race/Ethnicity,Asian,RACE,RACEASN
2022,AZ,Arizona,40.5,Q037,Race/Ethnicity,Asian,RACE,RACEASN
